centreline_id,segment_length,crash_count,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct,log_volume,crash_rate,exposure,log_exposure
443706,150.94796310482653,0,3408.0,3408.0,,405.0,471.0,33.1,41.3,44.9,,8.133880887949207,0.0,514430.6582612488,13.150816050170842
443450,98.75174536720888,0,605.0,605.0,,66.0,58.0,32.5,43.1,48.9,,6.405228458030842,0.0,59744.805947161374,10.997837536260526
14303970,570.8307581819557,0,13295.1,13167.2,13615.0,1041.0,816.0,,,,,9.495150825273504,0.0,7589252.01310492,15.842243595517507
444485,113.9676297384798,0,2156.7,2156.7,,248.0,270.0,32.7,38.8,43.0,,7.676334554657935,0.0,245793.98705697936,12.412249013068635
444323,185.27381139572705,0,1085.3,1085.3,,145.0,101.0,36.0,44.3,52.6,,6.98961172545197,0.0,201077.66750778255,12.211446517917185
444804,291.0600839031067,0,260.0,260.0,,54.0,17.0,28.0,43.1,49.9,,5.560681631015528,0.0,75675.62181480775,11.234211350768057
444686,95.38417012968064,0,2384.7,2384.7,,267.0,286.0,36.9,43.7,48.0,,7.776828609247176,0.0,227462.6305082494,12.334741242378543
444650,232.89291891056772,0,492.0,492.0,,71.0,57.0,33.3,43.0,48.5,,6.198478716492308,0.0,114583.31610399931,11.6490574889297
444071,314.93378928784244,0,554.0,554.0,,83.0,58.0,27.1,36.9,42.4,,6.317164686747284,0.0,174473.31926546473,12.06952711074232
443990,110.46238354135976,0,2508.7,2508.7,,281.0,268.0,34.0,42.6,47.0,,7.827519969667792,0.0,277116.9815902092,12.532195012229225
11533943,104.05284274357363,0,1254.0,1254.0,,179.0,142.0,30.2,39.4,48.9,,7.134093721192866,0.0,130482.26480044133,11.778992594597057
443933,254.19806836967433,0,11687.3,11687.3,,1187.0,1085.0,,,,,9.36625806115106,0.0,2970889.0844568945,14.904371821017095
5307255,57.92939055852709,0,11760.9,12568.2,9742.5,1140.0,1033.0,,,,,9.372535749136546,0.0,681301.7694197812,13.431760613881213
10133024,304.10097597370515,0,30222.3,30222.3,,1967.0,2052.0,57.6,65.0,71.4,,10.316335341468015,0.0,9190630.926170109,16.033695145530285
11226754,133.71122383484823,0,7921.3,8368.2,6804.0,587.0,748.0,,,,,8.977310612752884,0.0,1059166.7173629834,13.872993041241978
20055090,63.466086871123146,0,2488.3,2488.3,,165.0,250.0,,,,,7.819355025368169,0.0,157922.66396141573,11.969860723581611
9909353,138.5146169087772,0,19121.3,19121.3,,1132.0,1505.0,,,,,9.858558175925864,0.0,2648579.544297802,14.789534033232083
9949931,153.16621894932103,0,9820.0,9820.0,,525.0,817.0,,,,,9.192176401348512,0.0,1504092.2700823327,14.223700131398886
7396,186.81166579820524,0,440.0,440.0,,34.0,32.0,28.3,34.9,39.3,,6.0867747269123065,0.0,82197.13295121031,11.31687570149694
5843813,113.25731504197172,0,20709.7,20709.7,,1220.0,1545.0,,,,,9.938357468529036,0.0,2345525.017324722,14.668019822788299
9950436,235.15827229879625,0,852.0,852.0,,97.0,93.0,30.4,41.3,46.4,,6.747586526829315,0.0,200354.8479985744,12.207845313418522
7074419,159.93059886627688,0,3842.5,3842.5,,318.0,356.0,34.6,42.9,48.4,,8.253878475412751,0.0,614533.326143669,13.328618439460993
7154698,272.13588485137376,0,8551.0,8551.0,,552.0,565.0,,,,,9.053803514155955,0.0,2327033.951364097,14.660105032364541
14025469,43.84698722038716,0,21218.0,21218.0,,1639.0,1239.0,,,,,9.962605157019217,0.0,930345.3748421748,13.743311166986409
10223667,216.52217131559144,0,19324.3,20064.6,17473.5,1158.0,1297.0,,,,,9.869118650289868,0.0,4184139.3951538834,15.24681160041329
14025568,56.614555241241554,0,8333.6,8333.6,,436.0,518.0,41.4,51.1,56.7,,9.02805081467024,0.0,471803.0575584106,13.064316926558728
7930184,61.29958327648983,0,9369.8,9369.8,,536.0,606.0,39.0,47.7,52.7,,9.145247030287484,0.0,574364.8353840543,13.261020075106865
7930670,73.8336575850263,0,16012.7,16012.7,,935.0,1071.0,,,,,9.681137436368985,0.0,1182276.2088117506,13.982952128847208
14036064,52.34217979274403,8,14245.3,14245.3,,1233.0,819.0,,,,,9.56418230673131,152.84040580039056,745630.0538015765,13.521984849751433
437076,115.44018185433345,0,1914.0,1914.0,,212.0,195.0,32.6,39.9,44.9,,7.5569505720129,0.0,220952.5080691942,12.305703061792013
436917,421.51374167912974,0,29106.0,29106.0,,2271.0,2256.0,,,,,10.278699617473272,0.0,12268578.965312751,16.32255199623222
444948,522.0266999229889,0,1303.0,1303.0,,110.0,115.0,40.6,50.0,55.0,,7.172424577124845,0.0,680200.7899996545,13.43014331297716
444734,152.55125806328795,0,1329.0,1329.0,,67.0,147.0,39.9,52.1,59.1,,7.192182058713246,0.0,202740.62196610967,12.21968271673335
444783,51.08731780940591,0,1429.0,1429.0,,139.0,132.0,35.1,44.1,49.7,,7.264730177929867,0.0,73003.77714964104,11.198266460567874
444733,179.17355910545103,0,581.0,581.0,,68.0,58.0,34.9,41.3,44.8,,6.364750756851911,0.0,104099.83784026705,11.553105696871464
444984,156.9356331637822,0,1317.7,1317.7,,69.0,145.0,40.2,52.0,58.8,,7.183643071551207,0.0,206794.0838199158,12.239478812986277
12789755,469.3942075974327,0,5601.0,5601.0,,477.0,512.0,46.6,54.3,59.5,,8.630700432209832,0.0,2629076.9567532204,14.782143375536625
8292845,148.95201003574832,0,2909.5,,2909.5,,,32.9,42.9,48.8,,7.975736524096725,0.0,433375.87319900974,12.979360697866195
7941741,348.56687594014556,0,1724.0,1724.0,,123.0,150.0,51.6,63.0,71.6,,7.452402451223638,0.0,600929.2941208109,13.306232559542828
1146181,211.72170606178335,0,10979.0,10979.0,,849.0,900.0,,,,,9.303739636234733,0.0,2324492.6108523193,14.659012341296075
8140493,170.7440115580329,0,17528.7,17528.7,,1689.0,1084.0,,,,,9.771594816580114,0.0,2992920.555397291,14.911760243013555
14018632,47.50591023946042,0,866.0,866.0,,51.0,88.0,25.2,32.3,34.7,,6.763884908562435,0.0,41140.11826737272,10.62473903795665
10526927,62.62947303086761,0,1088.3,1088.3,,87.0,83.0,25.1,31.1,34.2,,6.992372124702016,0.0,68159.65549949321,11.129608107198951
10526964,34.276870714984,10,1756.3,1756.3,,128.0,147.0,20.8,31.7,35.0,,7.4709646024276894,291.74191784165816,60200.46803672639,11.00543540596314
30087997,80.17888197398648,0,1224.0,1224.0,,73.0,116.0,,,,0.195,7.1098794630722715,0.0,98138.95153615945,11.494139626238136
7273868,50.414027013364915,0,16175.7,16175.7,,795.0,1360.0,,,,,9.691265395094208,0.0,815482.1767600869,13.611534845206682
14063839,138.68690045671167,0,110.0,110.0,,11.0,14.0,16.2,24.8,29.8,,4.700480365792417,0.0,15255.559050238284,9.632699243495887
14036431,80.47236110245022,0,7331.0,7331.0,,594.0,604.0,38.9,47.1,52.0,,8.899867211223587,0.0,589942.8792420626,13.287780996351081
30074578,537.8519312738097,0,167.0,167.0,,16.0,11.0,35.8,53.4,69.0,,5.117993812416755,0.0,89821.27252272621,11.405577114017726
60030936,265.7654301981783,0,3702.0,3702.0,,173.0,246.0,33.5,41.9,47.1,,8.216628493133443,0.0,983863.6225936561,13.79924257150408
14120431,77.93258348299189,0,10371.0,10371.0,,708.0,896.0,49.8,57.6,62.4,,9.246768728589734,0.0,808238.8233021089,13.602612867223721
913518,98.94945808180074,0,9955.0,9955.0,,763.0,868.0,49.9,57.6,62.7,,9.205830216498297,0.0,985041.8552043263,13.800439411844666
14120432,76.2361671539506,0,10672.7,10672.7,,796.0,894.0,46.7,54.0,58.9,,9.275444358208228,0.0,813645.7411839686,13.609280342863753
7424895,218.28068250867017,0,10104.7,10104.7,,838.0,816.0,50.4,58.3,63.4,,9.220755941123883,0.0,2205660.8125453596,14.606537710194724
913646,95.7167714716116,0,1435.0,1435.0,,70.0,150.0,39.3,48.5,52.9,,7.268920128193722,0.0,137353.56706176265,11.830313661785118
60031165,314.2965231173585,0,24067.0,24067.0,,1772.0,2023.0,,,,,10.088596886532404,0.0,7564174.421865467,15.838933767969166
7305,426.01897990403097,0,582.3,582.3,,30.0,62.0,32.5,39.8,44.6,,6.366985778843074,0.0,248070.85199811723,12.421469677885286
440623,193.769279916032,0,26621.7,26621.7,,1690.0,1690.0,,,,,10.189481951668103,0.0,5158467.639140629,15.45615012419488
60031362,58.76739486552654,0,41218.3,41218.3,,3184.0,2789.0,,,,,10.626637611478493,0.0,2422292.1117857327,14.700224803496367
60031445,193.8844323523884,0,22855.0,22855.0,,2538.0,2368.0,,,,,10.036925190765844,0.0,4431228.701413836,15.304187462799986
1146998,32.90347572254533,0,7116.0,7116.0,,390.0,470.0,,,,,8.870101048785726,0.0,234141.13324163257,12.363679346039174
1147026,447.27686549217833,0,22371.0,22371.0,,2135.0,1485.0,,,,,10.015520756211904,0.0,10006030.757925522,16.118698544973746
30022993,185.7171983861143,0,34978.0,34978.0,,2077.0,2100.0,,,,,10.462474571409137,0.0,6496016.165149505,15.686699649298003
20054128,205.21407784503924,0,4313.7,4313.7,,223.0,471.0,,,,,8.369551283501805,0.0,885231.9676001457,13.693604999927818
7929920,97.11129105633836,0,5442.0,5442.0,,366.0,419.0,,,,,8.601901919343192,0.0,528479.6459285934,13.17775957064368
60031567,201.90398972879956,0,5124.3,5124.3,,544.0,449.0,,,,,8.541749209312124,0.0,1034616.6145672876,13.849541495350975
10223459,447.2737556885505,0,11752.0,11752.0,,922.0,1085.0,,,,,9.371778717853713,0.0,5256361.176851845,15.474949553842723
